trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-116.82564827360154,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9607894391523232}",20,0,-139.93136508920813,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.02, 'e': 0.9417645335842487}",20,0,-50.75905628059116,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.02, 'e': 0.9231163463866358}",25,0,-95.90644154691935,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
5,False,"{'a': 0.02, 'e': 0.9048374180359595}",25,0,-211.81961485353932,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.02, 'e': 0.8869204367171575}",25,0,-85.20430261146454,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.02, 'e': 0.8693582353988059}",20,0,-46.467126173472785,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.8521437889662113}",25,0,-168.49652594781878,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.02, 'e': 0.835270211411272}",30,0,-195.06411338830173,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.02, 'e': 0.8187307530779818}",20,0,-171.9369801730579,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.02, 'e': 0.8025187979624785}",20,0,-59.20844768202976,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.7866278610665535}",20,0,-93.0281119150161,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.02, 'e': 0.7710515858035663}",30,0,-51.68816840628862,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.02, 'e': 0.7557837414557255}",20,0,-72.41673446305369,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.02, 'e': 0.7408182206817179}",20,0,-53.6844766758773,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.7261490370736909}",20,7,-56.03885744908104,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.02, 'e': 0.7117703227626097}",25,0,-71.92065153532707,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.697676326071031}",20,0,-65.00874828457522,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.6838614092123558}",25,0,-29.728035694250696,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.6703200460356393}",20,0,-136.38799003306812,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.02, 'e': 0.6570468198150567}",20,0,-27.15807370614156,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.6440364210831414}",20,0,-121.69391418193723,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.02, 'e': 0.631283645506926}",25,0,-54.752720700031226,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.02, 'e': 0.6187833918061408}",20,0,-58.637607543178014,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
